"fad_id","section_id","pos_id","date","lon_fad","lat_fad","fad_class"
4,1,128430,"2009-10-26 12:00:00",-5.61133,-1.0065,"W"
14,7,480197,"2008-09-14 13:00:00",55.4602,-4.621,"B"
16,1,173620,"2008-08-12 21:00:00",7.306,-4.32433,"W"
22,6,624423,"2010-01-25 13:00:00",1.8855,4.07767,"W"
22,6,1280079,"2010-05-18 00:00:00",1.3735,1.7225,"W"
25,3,1249126,"2010-05-31 07:00:00",-20.155,5.03067,"W"
26,7,60098,"2009-05-06 19:00:00",-0.107667,5.11933,"W"
27,2,100545,"2009-06-06 08:00:00",-16.8797,6.48833,"W"
30,1,525068,"2008-10-23 03:00:00",43.1717,-7.95433,"W"
35,1,170198,"2008-02-02 10:00:00",-4.8825,0.7035,"B"
36,12,167082,"2008-07-19 16:00:00",-15.4683,10.4088,"W"
41,3,41154,"2007-04-30 18:00:00",-15.6925,6.17717,"W"
52,2,111970,"2009-09-22 15:00:00",-4.258,-1.30583,"W"
55,1,38171,"2007-03-16 04:00:00",-19.1338,9.59683,"W"
55,4,31471,"2007-07-07 16:00:00",-3.55633,-2.35133,"W"
62,3,365037,"2009-06-10 18:00:00",69.9338,-12.9238,"B"
66,1,54443,"2009-02-25 13:00:00",-14.8388,-1.2535,"W"
69,2,38398,"2007-03-07 15:00:00",-9.61333,0.187167,"W"
74,3,3814360,"2011-03-30 16:00:00",-4.3,2.96433,"W"
77,13,1245581,"2010-06-27 15:00:00",7.6225,-3.63717,"W"
79,2,602477,"2010-01-21 21:00:00",8.2435,2.38583,"W"
85,2,45452,"2009-08-27 08:00:00",-1.66833,0.033,"W"
88,3,132841,"2009-10-23 15:00:00",-3.66667,-1.55883,"W"
88,3,88631,"2009-11-10 15:00:00",-1.16583,-3.21767,"W"
94,2,88257,"2009-11-11 16:00:00",-19.7863,3.47467,"W"
96,4,128960,"2009-10-21 12:00:00",7.1685,-0.161,"W"
102,2,92338,"2009-11-26 14:00:00",-15.7617,9.1255,"W"
103,1,629528,"2010-01-09 22:00:00",-3.40217,0.9925,"W"
117,9,1353793,"2010-06-09 11:00:00",8.37583,-2.21717,"W"
118,6,70905,"2009-12-23 18:00:00",-9.999,-3.14017,"W"
120,2,39980,"2007-03-28 10:00:00",-9.17967,-0.589167,"W"
136,4,23860,"2007-11-14 18:00:00",-23.8483,2.23133,"W"
141,1,518656,"2008-10-19 11:00:00",50.9502,-2.913,"W"
142,2,1283811,"2010-05-14 16:00:00",-50.8227,18.916,"W"
149,2,136822,"2009-10-17 05:00:00",12.65,-9.3525,"W"
151,1,42781,"2007-04-30 00:00:00",-19.726,9.58767,"W"
155,2,70166,"2009-12-17 19:00:00",-1.4555,-11.6927,"W"
155,2,603314,"2010-01-15 13:00:00",-2.72,-10.3913,"W"
157,1,163034,"2008-07-18 13:00:00",-3.83633,2.70917,"W"
160,1,24221,"2007-11-05 19:00:00",-1.3075,2.78883,"W"
161,2,89787,"2009-11-27 13:00:00",2.25633,2.15767,"W"
164,1,140818,"2006-12-23 21:00:00",-13.295,-1.40767,"W"
167,14,76861,"2009-12-04 12:00:00",-34.0575,11.825,"W"
168,7,489741,"2008-01-17 14:00:00",55.6225,-7.363,"W"
168,7,535865,"2008-02-17 14:00:00",62.2738,-6.5185,"W"
174,2,114056,"2009-09-11 02:00:00",-8.7055,3.04017,"W"
175,1,19321,"2007-05-09 11:00:00",-15.3397,4.64967,"W"
176,2,613443,"2010-02-28 03:00:00",-26.9997,4.411,"W"
176,2,1322794,"2010-06-04 03:00:00",-20.0113,5.78133,"W"
182,3,641503,"2010-03-12 15:00:00",-12.4282,-4.7055,"W"
182,3,640681,"2010-03-19 15:00:00",-13.8518,-4.84717,"W"
183,1,142661,"2006-12-18 09:00:00",-14.8047,4.56717,"W"
187,2,1250264,"2010-09-24 21:00:00",0.937667,1.67917,"W"
191,1,20989,"2007-02-24 05:00:00",-5.4555,1.621,"W"
192,1,144342,"2006-12-09 10:00:00",-11.6135,4.07,"W"
192,1,141230,"2006-12-11 10:00:00",-11.6988,3.89433,"W"
200,2,168556,"2008-02-26 18:00:00",-24.1255,-3.64883,"W"
203,1,4655,"2007-12-14 11:00:00",-14.7438,3.816,"W"
204,4,38729,"2007-03-25 09:00:00",-19.013,9.36183,"W"
208,6,1429070,"2010-07-28 07:00:00",-22.0635,9.2625,"W"
210,2,66804,"2009-12-06 15:00:00",-7.27133,-3.81667,"W"
214,1,78191,"2009-03-29 13:00:00",-29.0658,-3.63167,"W"
214,1,120887,"2009-07-13 13:00:00",-52.5022,6.69017,"W"
216,4,62855,"2009-12-15 15:00:00",-15.326,1.39133,"W"
216,4,66032,"2009-12-26 17:00:00",-16.8535,2.13583,"W"
217,19,133682,"2009-10-02 19:00:00",-11.526,3.63933,"W"
219,25,1246620,"2010-09-17 20:00:00",-32.5852,5.07133,"W"
225,10,1321955,"2010-04-07 20:00:00",-10.9238,-2.84183,"W"
228,4,257858,"2009-03-22 22:00:00",67.7992,-2.26917,"W"
229,5,620722,"2010-01-19 05:00:00",1.5175,-2.19333,"B"
