"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((0.0000000000000000 0.0000000000000000, 0.0000000000000000 1.0000000000000000, 1.0000000000000000 1.0000000000000000, 1.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000))","2009-06-01","2009-06-30","B",408.624,0.608114865347525,8301.915,0.678175118465913,6
"POLYGON ((0.0000000000000000 0.0000000000000000, 0.0000000000000000 1.0000000000000000, 1.0000000000000000 1.0000000000000000, 1.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000))","2009-06-01","2009-06-30","W",334.623,0.497986463318808,6692.283,0.546685307089918,3
"POLYGON ((0.0000000000000000 0.0000000000000000, 0.0000000000000000 1.0000000000000000, 1.0000000000000000 1.0000000000000000, 1.0000000000000000 0.0000000000000000, 0.0000000000000000 0.0000000000000000))","2010-02-01","2010-02-28","W",0.869,0.00129324713670024,115.108,0.00940007659194595,1
"POLYGON ((0.0000000000000000 -1.0000000000000000, 0.0000000000000000 0.0000000000000000, 1.0000000000000000 0.0000000000000000, 1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000))","2008-09-01","2008-09-30","B",36.357,0.0541065433245232,881.644,0.0720179134968471,1
"POLYGON ((0.0000000000000000 -1.0000000000000000, 0.0000000000000000 0.0000000000000000, 1.0000000000000000 0.0000000000000000, 1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000))","2008-09-01","2008-09-30","W",19.904,0.0296211634164345,552.591,0.0451377838133509,1
"POLYGON ((0.0000000000000000 -1.0000000000000000, 0.0000000000000000 0.0000000000000000, 1.0000000000000000 0.0000000000000000, 1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000))","2009-06-01","2009-06-30","B",152.301,0.226654582470176,3042.987,0.248576644553901,3
"POLYGON ((0.0000000000000000 -1.0000000000000000, 0.0000000000000000 0.0000000000000000, 1.0000000000000000 0.0000000000000000, 1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000))","2009-08-01","2009-08-31","B",303.079,0.451042633997667,5448.283,0.445063740575498,1
"POLYGON ((0.0000000000000000 -1.0000000000000000, 0.0000000000000000 0.0000000000000000, 1.0000000000000000 0.0000000000000000, 1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000))","2010-02-01","2010-02-28","W",26.733,0.0397840917208372,434.734,0.0355101206584555,1
"POLYGON ((0.0000000000000000 1.0000000000000000, 0.0000000000000000 2.0000000000000000, 1.0000000000000000 2.0000000000000000, 1.0000000000000000 1.0000000000000000, 0.0000000000000000 1.0000000000000000))","2008-05-01","2008-05-31","B",69.977,0.104139879038979,1554.051,0.126946412431945,1
"POLYGON ((0.0000000000000000 1.0000000000000000, 0.0000000000000000 2.0000000000000000, 1.0000000000000000 2.0000000000000000, 1.0000000000000000 1.0000000000000000, 0.0000000000000000 1.0000000000000000))","2009-06-01","2009-06-30","B",220.656,0.328380598614187,4747.191,0.387791982287132,6
"POLYGON ((0.0000000000000000 1.0000000000000000, 0.0000000000000000 2.0000000000000000, 1.0000000000000000 2.0000000000000000, 1.0000000000000000 1.0000000000000000, 0.0000000000000000 1.0000000000000000))","2010-05-01","2010-05-31","W",238.636,0.355138462271115,4772.688,0.389874815953867,2
"POLYGON ((0.0000000000000000 -2.0000000000000000, 0.0000000000000000 -1.0000000000000000, 1.0000000000000000 -1.0000000000000000, 1.0000000000000000 -2.0000000000000000, 0.0000000000000000 -2.0000000000000000))","2008-09-01","2008-09-30","W",231.553,0.344597530776008,3760.133,0.307159843862221,1
"POLYGON ((0.0000000000000000 -2.0000000000000000, 0.0000000000000000 -1.0000000000000000, 1.0000000000000000 -1.0000000000000000, 1.0000000000000000 -2.0000000000000000, 0.0000000000000000 -2.0000000000000000))","2009-08-01","2009-08-31","B",39.795,0.0592229802128724,829.165,0.0677309374605849,1
"POLYGON ((0.0000000000000000 -3.0000000000000000, 0.0000000000000000 -2.0000000000000000, 1.0000000000000000 -2.0000000000000000, 1.0000000000000000 -3.0000000000000000, 0.0000000000000000 -3.0000000000000000))","2009-06-01","2009-06-30","W",112.149,0.166900314308165,2242.655,0.183198033965783,1
"POLYGON ((0.0000000000000000 3.0000000000000000, 0.0000000000000000 4.0000000000000000, 1.0000000000000000 4.0000000000000000, 1.0000000000000000 3.0000000000000000, 0.0000000000000000 3.0000000000000000))","2009-04-01","2009-04-30","W",108.119,0.160902862109198,2314.663,0.18908032155547,1
"POLYGON ((0.0000000000000000 3.0000000000000000, 0.0000000000000000 4.0000000000000000, 1.0000000000000000 4.0000000000000000, 1.0000000000000000 3.0000000000000000, 0.0000000000000000 3.0000000000000000))","2009-07-01","2009-07-31","W",225.921,0.336215979712837,4520.403,0.369265815223891,3
"POLYGON ((0.0000000000000000 4.0000000000000000, 0.0000000000000000 5.0000000000000000, 1.0000000000000000 5.0000000000000000, 1.0000000000000000 4.0000000000000000, 0.0000000000000000 4.0000000000000000))","2009-07-01","2009-07-31","W",208.77,0.310691835131081,4173.042,0.340890116698155,3
