"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"B",2006-12-01,2006-12-31,"POLYGON ((-5.0000000000000000 5.0000000000000000, -5.0000000000000000 10.0000000000000000, 0.0000000000000000 10.0000000000000000, 0.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000))",1,1
"B",2007-01-01,2007-01-31,"POLYGON ((0.0000000000000000 5.0000000000000000, 0.0000000000000000 10.0000000000000000, 5.0000000000000000 10.0000000000000000, 5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000))",1,1
"B",2007-01-01,2007-01-31,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,2
"B",2007-04-01,2007-04-30,"POLYGON ((5.0000000000000000 0.0000000000000000, 5.0000000000000000 5.0000000000000000, 10.0000000000000000 5.0000000000000000, 10.0000000000000000 0.0000000000000000, 5.0000000000000000 0.0000000000000000))",1,1
"B",2007-05-01,2007-05-31,"POLYGON ((40.0000000000000000 -5.0000000000000000, 40.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000, 45.0000000000000000 -5.0000000000000000, 40.0000000000000000 -5.0000000000000000))",1,1
"B",2007-06-01,2007-06-30,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,1
"B",2007-08-01,2007-08-31,"POLYGON ((50.0000000000000000 5.0000000000000000, 50.0000000000000000 10.0000000000000000, 55.0000000000000000 10.0000000000000000, 55.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000))",1,1
"B",2007-09-01,2007-09-30,"POLYGON ((45.0000000000000000 0.0000000000000000, 45.0000000000000000 5.0000000000000000, 50.0000000000000000 5.0000000000000000, 50.0000000000000000 0.0000000000000000, 45.0000000000000000 0.0000000000000000))",1,1
"B",2007-09-01,2007-09-30,"POLYGON ((50.0000000000000000 0.0000000000000000, 50.0000000000000000 5.0000000000000000, 55.0000000000000000 5.0000000000000000, 55.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000))",1,1
"B",2007-09-01,2007-09-30,"POLYGON ((55.0000000000000000 0.0000000000000000, 55.0000000000000000 5.0000000000000000, 60.0000000000000000 5.0000000000000000, 60.0000000000000000 0.0000000000000000, 55.0000000000000000 0.0000000000000000))",1,1
"B",2007-10-01,2007-10-31,"POLYGON ((55.0000000000000000 -5.0000000000000000, 55.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000, 60.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000))",1,1
"B",2007-10-01,2007-10-31,"POLYGON ((60.0000000000000000 0.0000000000000000, 60.0000000000000000 5.0000000000000000, 65.0000000000000000 5.0000000000000000, 65.0000000000000000 0.0000000000000000, 60.0000000000000000 0.0000000000000000))",1,1
"B",2007-11-01,2007-11-30,"POLYGON ((70.0000000000000000 0.0000000000000000, 70.0000000000000000 5.0000000000000000, 75.0000000000000000 5.0000000000000000, 75.0000000000000000 0.0000000000000000, 70.0000000000000000 0.0000000000000000))",1,1
