"geom_wkt","time_start","time_end","ocean","flag","gear","species","schooltype","catchtype","catchunit","v_catch","number_of_points"
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1991-01-01,1991-01-31,"ATL","FRA","BB","YFT","FS","L","MT",9.495,3
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1991-02-01,1991-02-28,"ATL","FRA","BB","SKJ","FS","L","MT",1.087,1
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1991-02-01,1991-02-28,"ATL","FRA","BB","YFT","FS","L","MT",3.261,1
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1992-01-01,1992-01-31,"ATL","FRA","BB","SKJ","FS","L","MT",5.438,4
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1992-01-01,1992-01-31,"ATL","FRA","BB","YFT","FS","L","MT",107.61,9
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1992-02-01,1992-02-29,"ATL","FRA","BB","SKJ","FS","L","MT",6.979,3
"POLYGON ((-15.0000000000000000 5.0000000000000000, -15.0000000000000000 10.0000000000000000, -10.0000000000000000 10.0000000000000000, -10.0000000000000000 5.0000000000000000, -15.0000000000000000 5.0000000000000000))",1992-02-01,1992-02-29,"ATL","FRA","BB","YFT","FS","L","MT",23.728,6
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-01-01,1991-01-31,"ATL","FRA","BB","BET","FS","L","MT",7.677,5
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-01-01,1991-01-31,"ATL","FRA","BB","LTA","FS","L","MT",7.609,4
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-01-01,1991-01-31,"ATL","FRA","BB","SKJ","FS","L","MT",20.044,15
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-01-01,1991-01-31,"ATL","FRA","BB","YFT","FS","L","MT",84.416,32
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-02-01,1991-02-28,"ATL","FRA","BB","SKJ","FS","L","MT",2.669,3
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-02-01,1991-02-28,"ATL","FRA","BB","YFT","FS","L","MT",28.447,7
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-07-01,1991-07-31,"ATL","FRA","BB","SKJ","FS","L","MT",17.439,6
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1991-07-01,1991-07-31,"ATL","FRA","BB","YFT","FS","L","MT",34.471,8
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-02-01,1992-02-29,"ATL","FRA","BB","SKJ","FS","L","MT",2.592,1
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-06-01,1992-06-30,"ATL","FRA","BB","SKJ","FS","L","MT",9.28,3
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-11-01,1992-11-30,"ATL","FRA","BB","YFT","FS","L","MT",1.841,1
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-12-01,1992-12-31,"ATL","FRA","BB","BET","FS","L","MT",5.451,5
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-12-01,1992-12-31,"ATL","FRA","BB","DSC","FS","D","MT",1.784,1
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-12-01,1992-12-31,"ATL","FRA","BB","SKJ","FS","L","MT",20.011,7
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1992-12-01,1992-12-31,"ATL","FRA","BB","YFT","FS","L","MT",5.947,5
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-01-01,1993-01-31,"ATL","FRA","BB","BET","FS","L","MT",46.021,10
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-01-01,1993-01-31,"ATL","FRA","BB","SKJ","FS","L","MT",19.834,8
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-01-01,1993-01-31,"ATL","FRA","BB","YFT","FS","L","MT",2.912,3
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-02-01,1993-02-28,"ATL","FRA","BB","BET","FS","L","MT",13.13,7
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-02-01,1993-02-28,"ATL","FRA","BB","SKJ","FS","L","MT",28.459,23
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-02-01,1993-02-28,"ATL","FRA","BB","YFT","FS","L","MT",58.828,16
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-03-01,1993-03-31,"ATL","FRA","BB","YFT","FS","L","MT",135.477,6
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-11-01,1993-11-30,"ATL","FRA","BB","SKJ","FS","L","MT",57.471,9
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-11-01,1993-11-30,"ATL","FRA","BB","YFT","FS","L","MT",18.266,5
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-12-01,1993-12-31,"ATL","FRA","BB","BET","FS","L","MT",5.313,3
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-12-01,1993-12-31,"ATL","FRA","BB","SKJ","FS","L","MT",309.391,45
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1993-12-01,1993-12-31,"ATL","FRA","BB","YFT","FS","L","MT",84.093,19
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1994-01-01,1994-01-31,"ATL","FRA","BB","BET","FS","L","MT",0.755,1
"POLYGON ((-20.0000000000000000 10.0000000000000000, -20.0000000000000000 15.0000000000000000, -15.0000000000000000 15.0000000000000000, -15.0000000000000000 10.0000000000000000, -20.0000000000000000 10.0000000000000000))",1994-01-01,1994-01-31,"ATL","FRA","BB","SKJ","FS","L","MT",62.933,23
