"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((0.0000000000000000 -2.0000000000000000, 0.0000000000000000 -1.0000000000000000, 1.0000000000000000 -1.0000000000000000, 1.0000000000000000 -2.0000000000000000, 0.0000000000000000 -2.0000000000000000))","2012-06-01","2012-06-30","W",20.172,0.101900403115812,557.958,0.195150529044642,1
"POLYGON ((0.0000000000000000 -4.0000000000000000, 0.0000000000000000 -3.0000000000000000, 1.0000000000000000 -3.0000000000000000, 1.0000000000000000 -4.0000000000000000, 0.0000000000000000 -4.0000000000000000))","2012-03-01","2012-03-31","W",0,0,119.367,0.0417496177140067,1
"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 1.0000000000000000, -9.0000000000000000 1.0000000000000000, -9.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))","2011-09-01","2011-09-30","W",15.529,0.0784459329756817,324.24,0.113405682035986,1
"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 1.0000000000000000, -9.0000000000000000 1.0000000000000000, -9.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))","2012-08-01","2012-08-31","W",112.812,0.569878459067075,2216.298,0.775168968310485,1
"POLYGON ((-10.0000000000000000 -1.0000000000000000, -10.0000000000000000 0.0000000000000000, -9.0000000000000000 0.0000000000000000, -9.0000000000000000 -1.0000000000000000, -10.0000000000000000 -1.0000000000000000))","2012-08-01","2012-08-31","W",0,0,39.94,0.0139693527649805,1
"POLYGON ((-10.0000000000000000 1.0000000000000000, -10.0000000000000000 2.0000000000000000, -9.0000000000000000 2.0000000000000000, -9.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000))","2007-09-01","2007-09-30","W",57.092,0.288404611079118,1296.35,0.45340937548529,1
"POLYGON ((-10.0000000000000000 1.0000000000000000, -10.0000000000000000 2.0000000000000000, -9.0000000000000000 2.0000000000000000, -9.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000))","2011-09-01","2011-09-30","W",23.673,0.119585972782105,614.312,0.214860817119697,1
"POLYGON ((-10.0000000000000000 1.0000000000000000, -10.0000000000000000 2.0000000000000000, -9.0000000000000000 2.0000000000000000, -9.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000))","2011-10-01","2011-10-31","W",0,0,22.167,0.00775309571210122,1
"POLYGON ((-10.0000000000000000 1.0000000000000000, -10.0000000000000000 2.0000000000000000, -9.0000000000000000 2.0000000000000000, -9.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000))","2012-03-01","2012-03-31","W",125.573,0.634341628022106,2511.465,0.878406122731642,1
"POLYGON ((10.0000000000000000 -19.0000000000000000, 10.0000000000000000 -18.0000000000000000, 11.0000000000000000 -18.0000000000000000, 11.0000000000000000 -19.0000000000000000, 10.0000000000000000 -19.0000000000000000))","2009-06-01","2009-06-30","B",44.476,0.22467392073066,889.519,0.311116792742932,1
"POLYGON ((10.0000000000000000 -20.0000000000000000, 10.0000000000000000 -19.0000000000000000, 11.0000000000000000 -19.0000000000000000, 11.0000000000000000 -20.0000000000000000, 10.0000000000000000 -20.0000000000000000))","2009-06-01","2009-06-30","B",125.714,0.635053900322291,2514.279,0.879390343029104,1
"POLYGON ((-10.0000000000000000 2.0000000000000000, -10.0000000000000000 3.0000000000000000, -9.0000000000000000 3.0000000000000000, -9.0000000000000000 2.0000000000000000, -10.0000000000000000 2.0000000000000000))","2011-10-01","2011-10-31","W",84.865,0.428702047909152,1829.646,0.63993416146809,1
"POLYGON ((10.0000000000000000 -21.0000000000000000, 10.0000000000000000 -20.0000000000000000, 11.0000000000000000 -20.0000000000000000, 11.0000000000000000 -21.0000000000000000, 10.0000000000000000 -21.0000000000000000))","2009-06-01","2009-06-30","B",126.525,0.639150728942503,2490.292,0.871000686925609,1
"POLYGON ((10.0000000000000000 -22.0000000000000000, 10.0000000000000000 -21.0000000000000000, 11.0000000000000000 -21.0000000000000000, 11.0000000000000000 -22.0000000000000000, 10.0000000000000000 -22.0000000000000000))","2009-06-01","2009-06-30","B",14.418,0.0728336313763526,328.559,0.114916288810947,1
"POLYGON ((10.0000000000000000 -5.0000000000000000, 10.0000000000000000 -4.0000000000000000, 11.0000000000000000 -4.0000000000000000, 11.0000000000000000 -5.0000000000000000, 10.0000000000000000 -5.0000000000000000))","2010-09-01","2010-09-30","B",44.461,0.224598147081704,1043.732,0.36505409364293,1
"POLYGON ((10.0000000000000000 -5.0000000000000000, 10.0000000000000000 -4.0000000000000000, 11.0000000000000000 -4.0000000000000000, 11.0000000000000000 -5.0000000000000000, 10.0000000000000000 -5.0000000000000000))","2011-10-01","2011-10-31","W",37.627,0.190075672617424,907.057,0.317250856558461,1
"POLYGON ((10.0000000000000000 -6.0000000000000000, 10.0000000000000000 -5.0000000000000000, 11.0000000000000000 -5.0000000000000000, 11.0000000000000000 -6.0000000000000000, 10.0000000000000000 -6.0000000000000000))","2011-10-01","2011-10-31","W",111.345,0.562467796199194,2226.908,0.778879905537236,1
"POLYGON ((10.0000000000000000 -7.0000000000000000, 10.0000000000000000 -6.0000000000000000, 11.0000000000000000 -6.0000000000000000, 11.0000000000000000 -7.0000000000000000, 10.0000000000000000 -7.0000000000000000))","2011-10-01","2011-10-31","W",111.553,0.563518524131381,2231.051,0.780328954823799,1
"POLYGON ((10.0000000000000000 -8.0000000000000000, 10.0000000000000000 -7.0000000000000000, 11.0000000000000000 -7.0000000000000000, 11.0000000000000000 -8.0000000000000000, 10.0000000000000000 -8.0000000000000000))","2011-10-01","2011-10-31","W",30.696,0.155063195223229,768.421,0.268761743140187,1
"POLYGON ((-1.0000000000000000 -2.0000000000000000, -1.0000000000000000 -1.0000000000000000, 0.0000000000000000 -1.0000000000000000, 0.0000000000000000 -2.0000000000000000, -1.0000000000000000 -2.0000000000000000))","2012-06-01","2012-06-30","W",112.821,0.569923923256448,2256.428,0.789204775182259,1
"POLYGON ((1.0000000000000000 -4.0000000000000000, 1.0000000000000000 -3.0000000000000000, 2.0000000000000000 -3.0000000000000000, 2.0000000000000000 -4.0000000000000000, 1.0000000000000000 -4.0000000000000000))","2012-03-01","2012-03-31","W",136.465,0.689363400317239,2757.519,0.964465590063502,1
"POLYGON ((1.0000000000000000 -5.0000000000000000, 1.0000000000000000 -4.0000000000000000, 2.0000000000000000 -4.0000000000000000, 2.0000000000000000 -5.0000000000000000, 1.0000000000000000 -5.0000000000000000))","2012-03-01","2012-03-31","W",0,0,6.921,0.00242067827958012,1
"POLYGON ((102.0000000000000000 -8.0000000000000000, 102.0000000000000000 -7.0000000000000000, 103.0000000000000000 -7.0000000000000000, 103.0000000000000000 -8.0000000000000000, 102.0000000000000000 -8.0000000000000000))","2013-06-01","2013-06-30","W",0,0,1.825,0.000638309183677752,1
"POLYGON ((103.0000000000000000 -6.0000000000000000, 103.0000000000000000 -5.0000000000000000, 104.0000000000000000 -5.0000000000000000, 104.0000000000000000 -6.0000000000000000, 103.0000000000000000 -6.0000000000000000))","2013-06-01","2013-06-30","W",11.595,0.0585730306428636,386.404,0.135148066745106,1
"POLYGON ((103.0000000000000000 -7.0000000000000000, 103.0000000000000000 -6.0000000000000000, 104.0000000000000000 -6.0000000000000000, 104.0000000000000000 -7.0000000000000000, 103.0000000000000000 -7.0000000000000000))","2013-06-01","2013-06-30","W",115.841,0.585179684579557,2316.815,0.810325639113628,1
